Latitude,Longitude,Leopard_ID,Honap
43.1234,100.4567,Artemis,1
43.1456,100.4789,Artemis,1
43.1678,100.4123,Artemis,2
43.1890,100.4345,Artemis,2
43.2101,100.4567,Artemis,3
43.2323,100.4901,Artemis,3
43.2545,100.4123,Artemis,4
43.2767,100.4345,Artemis,4
43.2989,100.4567,Artemis,5
43.3211,100.4789,Artemis,5
42.9876,99.1234,Batu,1
42.9654,99.1456,Batu,1
42.9432,99.1678,Batu,2
42.9210,99.1890,Batu,2
42.8988,99.1234,Batu,3
42.8766,99.1456,Batu,3
42.8544,99.1678,Batu,4
42.8322,99.1890,Batu,4
42.8100,99.1234,Batu,5
42.7878,99.1456,Batu,5
43.5678,101.2345,Chione,1
43.5456,101.2567,Chione,1
43.5234,101.2789,Chione,2
43.5012,101.2901,Chione,2
43.4790,101.2345,Chione,3
43.4568,101.2567,Chione,3
43.4346,101.2789,Chione,4
43.4124,101.2901,Chione,4
43.3902,101.2345,Chione,5
43.3680,101.2567,Chione,5
43.8765,98.7654,Danko,1
43.8543,98.7876,Danko,1
43.8321,98.7098,Danko,2
43.8109,98.7210,Danko,2
43.7887,98.7432,Danko,3
43.7665,98.7654,Danko,3
43.7443,98.7876,Danko,4
43.7221,98.7098,Danko,4
43.7009,98.7210,Danko,5
43.6787,98.7432,Danko,5
42.5432,100.9876,Elsa,1
42.5210,100.9098,Elsa,1
42.4988,100.9210,Elsa,2
42.4766,100.9432,Elsa,2
42.4544,100.9654,Elsa,3
42.4322,100.9876,Elsa,3
42.4100,100.9098,Elsa,4
42.3878,100.9210,Elsa,4
42.3656,100.9432,Elsa,5
42.3434,100.9654,Elsa,5
43.1234,100.4567,Artemis,1
43.1456,100.4789,Artemis,1
43.1678,100.4123,Artemis,2
43.1890,100.4345,Artemis,2
43.2101,100.4567,Artemis,3
43.2323,100.4901,Artemis,3
43.2545,100.4123,Artemis,4
43.2767,100.4345,Artemis,4
43.2989,100.4567,Artemis,5
43.3211,100.4789,Artemis,5
42.9876,99.1234,Batu,1
42.9654,99.1456,Batu,1
42.9432,99.1678,Batu,2
42.9210,99.1890,Batu,2
42.8988,99.1234,Batu,3
42.8766,99.1456,Batu,3
42.8544,99.1678,Batu,4
42.8322,99.1890,Batu,4
42.8100,99.1234,Batu,5
42.7878,99.1456,Batu,5
43.5678,101.2345,Chione,1
43.5456,101.2567,Chione,1
43.5234,101.2789,Chione,2
43.5012,101.2901,Chione,2
43.4790,101.2345,Chione,3
43.4568,101.2567,Chione,3
43.4346,101.2789,Chione,4
43.4124,101.2901,Chione,4
43.3902,101.2345,Chione,5
43.3680,101.2567,Chione,5
43.8765,98.7654,Danko,1
43.8543,98.7876,Danko,1
43.8321,98.7098,Danko,2
43.8109,98.7210,Danko,2
43.7887,98.7432,Danko,3
43.7665,98.7654,Danko,3
43.7443,98.7876,Danko,4
43.7221,98.7098,Danko,4
43.7009,98.7210,Danko,5
43.6787,98.7432,Danko,5
42.5432,100.9876,Elsa,1
42.5210,100.9098,Elsa,1
42.4988,100.9210,Elsa,2
42.4766,100.9432,Elsa,2
42.4544,100.9654,Elsa,3
42.4322,100.9876,Elsa,3
42.4100,100.9098,Elsa,4
42.3878,100.9210,Elsa,4
42.3656,100.9432,Elsa,5
42.3434,100.9654,Elsa,5
43.1234,100.4567,Artemis,1
43.1456,100.4789,Artemis,1
43.1678,100.4123,Artemis,2
43.1890,100.4345,Artemis,2
43.2101,100.4567,Artemis,3
43.2323,100.4901,Artemis,3
43.2545,100.4123,Artemis,4
43.2767,100.4345,Artemis,4
43.2989,100.4567,Artemis,5
43.3211,100.4789,Artemis,5
42.9876,99.1234,Batu,1
42.9654,99.1456,Batu,1
42.9432,99.1678,Batu,2
42.9210,99.1890,Batu,2
42.8988,99.1234,Batu,3
42.8766,99.1456,Batu,3
42.8544,99.1678,Batu,4
42.8322,99.1890,Batu,4
42.8100,99.1234,Batu,5
42.7878,99.1456,Batu,5
43.5678,101.2345,Chione,1
43.5456,101.2567,Chione,1
43.5234,101.2789,Chione,2
43.5012,101.2901,Chione,2
43.4790,101.2345,Chione,3
43.4568,101.2567,Chione,3
43.4346,101.2789,Chione,4
43.4124,101.2901,Chione,4
43.3902,101.2345,Chione,5
43.3680,101.2567,Chione,5
43.8765,98.7654,Danko,1
43.8543,98.7876,Danko,1
43.8321,98.7098,Danko,2
43.8109,98.7210,Danko,2
43.7887,98.7432,Danko,3
43.7665,98.7654,Danko,3
43.7443,98.7876,Danko,4
43.7221,98.7098,Danko,4
43.7009,98.7210,Danko,5
43.6787,98.7432,Danko,5
42.5432,100.9876,Elsa,1
42.5210,100.9098,Elsa,1
42.4988,100.9210,Elsa,2
42.4766,100.9432,Elsa,2
42.4544,100.9654,Elsa,3
42.4322,100.9876,Elsa,3
42.4100,100.9098,Elsa,4
42.3878,100.9210,Elsa,4
42.3656,100.9432,Elsa,5
42.3434,100.9654,Elsa,5
